source_location,target_location,coverage_type,status,reason
FYP/analysis code,research_record/00_early_pipeline_history/src,representative_code,retained,Chronological early scripts retained while duplicated runtime outputs are indexed
FYP/outputs,research_record/00_early_pipeline_history,inventory_only,explicitly_not_copied,Early KMeans CLARA feature-v2 and temporal-resolution trees are superseded and highly duplicated
FYP/cluster_clean_version_fullweek,research_record/01_model_development/method_experiments/historical_reference_cluster_clean_version_fullweek,curated_copy,retained,Historical full-week reference branch
FYP/旧分析归档/cluster_clean_version_grouped,research_record/01_model_development/method_experiments/grouped_day_regime_clustering,curated_copy,retained,Independent weekday-weekend clustering experiment
FYP/旧分析归档/cluster_clean_version,research_record/00_early_pipeline_history,represented_by_history_layer,superseded,Early clean pipeline precedes the full-week historical branch
FYP/旧分析归档/cluster_clean_version_15min,research_record/01_model_development/method_experiments/bus_time_resolution_15min_vs_1h,represented_by_controlled_comparison,superseded,Controlled same-source resolution study provides the clearer record
FYP/旧分析归档/cluster_clean_version_1h,research_record/01_model_development/method_experiments/bus_time_resolution_15min_vs_1h,represented_by_controlled_comparison,superseded,Controlled same-source resolution study provides the clearer record
FYP/旧分析归档/巴士15分钟&1小时稳定性验证,research_record/01_model_development/method_experiments/bus_time_resolution_15min_vs_1h,curated_copy,retained,Completed fair temporal-resolution sensitivity
FYP/旧分析归档/rq1_bus_hellinger_transform,research_record/01_model_development/method_experiments/bus_hellinger_transform,curated_copy,retained,Completed negative transform sensitivity
FYP/旧分析归档/rq1_rail_ilr_sensitivity,research_record/01_model_development/method_experiments/rail_ilr_sensitivity,curated_copy,retained,Completed Rail compositional sensitivity
FYP/rq1_bus_stoparea_only_isolated_test,research_record/01_model_development/method_experiments/bus_stoparea_only_isolated_test,curated_copy,retained,Completed spatial-unit isolation test
FYP/旧分析归档/rq1_bus_hub_zero_audit,research_record/01_model_development/method_experiments/bus_hub_zero_audit,curated_copy,retained,Completed preprocessing audit
FYP/旧分析归档/rq1_bus_hub_first_reorganisation,research_record/01_model_development/method_experiments/bus_hub_first_reorganisation,curated_copy,retained,Completed superseded spatial reconstruction
FYP/旧分析归档/rq1_bus_hub_first_reclustering_alpha_sensitivity,research_record/01_model_development/method_experiments/bus_hub_first_alpha_fixed_sample,curated_copy,retained,Completed fixed-sample smoothing comparison
FYP/旧分析归档/rq1_bus_hub_first_alpha_grid_screen,research_record/01_model_development/method_experiments/rq1_bus_hub_first_alpha_grid_screen,curated_copy,retained,Wider smoothing screen
FYP/旧分析归档/rq1_bus_hub_first_isolated_test,research_record/01_model_development/method_experiments/rq1_bus_hub_first_isolated_test,curated_copy,retained,Parent-hub isolated branch
FYP/旧分析归档/rq1_bus_hub_first_reclustering,research_record/01_model_development/method_experiments/rq1_bus_hub_first_reclustering,curated_copy,retained,Historical hub-first clustering
FYP/旧分析归档/rq1_bus_hub_first_reclustering_rank58,research_record/01_model_development/method_experiments/rq1_bus_hub_first_reclustering,embedded_result,retained,Rank58 comparison is preserved inside the stability synthesis
FYP/旧分析归档/rq1_bus_hub_first_reliable_core_assignment,research_record/01_model_development/method_experiments/rq1_bus_hub_first_reliable_core_assignment,curated_copy,retained,Threshold and reliability development
FYP/旧分析归档/rq1_bus_activity_tiered_reclustering,research_record/01_model_development/method_experiments/rq1_bus_activity_tiered_reclustering,curated_copy,retained,Activity-tier experiment
